Ticket ID,Phase,Title,Description,Dependencies
1.1,Phase 1: BigQuery Foundation,Create dedicated GCP project for Meaning,"Set up a GCP project (e.g. meaning-data). Enable BigQuery API and IAM. This is the central project that will house all customer analytics data.",None
1.2,Phase 1: BigQuery Foundation,Create BigQuery service account,"Create a service account with BigQuery Job User + BigQuery Data Viewer roles. Generate JSON key. Store securely and add GOOGLE_BIGQUERY_CREDENTIALS to env vars.",1.1
1.3,Phase 1: BigQuery Foundation,Enable GA4 BigQuery export on test property,"Link a test GA4 property to BigQuery. Enable both daily export (events_YYYYMMDD) and streaming export (events_intraday_YYYYMMDD). Verify data appears within 24 hours.",1.1
1.4,Phase 1: BigQuery Foundation,Define dataset naming convention and access strategy,"Decide on analytics_{property_id} dataset naming. Document whether datasets live in one project or customers link their own. Create a short ADR for the team.",1.1
1.5,Phase 1: BigQuery Foundation,Validate raw export data against GA4 API,"Run the same query via GA4 Data API and a manual BigQuery SQL query. Compare results for sessions pageviews users traffic sources across a 7-day window. Document any discrepancies.",1.3
2.1,Phase 2: Data Modeling Layer,Set up dbt project,"Initialize a dbt project (e.g. meaning-dbt) with BigQuery adapter. Configure connection using the service account. Add to the repo or a separate repo.",1.2
2.2,Phase 2: Data Modeling Layer,Create staging model: stg_events,"Transform raw events_* tables: unnest event_params extract page_location source medium campaign normalize timestamps to UTC. Partition by date include property_id.",2.1
2.3,Phase 2: Data Modeling Layer,Create mart model: sessions,"One row per session. Columns: session_id user_pseudo_id property_id session_start session_duration pageviews is_bounce landing_page exit_page source medium channel_group device_category country city.",2.2
2.4,Phase 2: Data Modeling Layer,Create mart model: pageviews,"One row per pageview. Columns: event_timestamp user_pseudo_id session_id property_id page_path page_title page_referrer engagement_time_msec.",2.2
2.5,Phase 2: Data Modeling Layer,Create mart model: users,"One row per user. Columns: user_pseudo_id property_id first_seen last_seen total_sessions total_pageviews acquisition_source acquisition_medium device_category country.",2.3
2.6,Phase 2: Data Modeling Layer,Create mart model: conversions,"One row per conversion event. Columns: event_timestamp user_pseudo_id session_id property_id event_name conversion_value source medium.",2.2
2.7,Phase 2: Data Modeling Layer,Create mart model: traffic_sources,"Pre-aggregated daily source/medium performance. Columns: date property_id source medium channel_group sessions users new_users pageviews bounce_rate avg_session_duration.",2.3
2.8,Phase 2: Data Modeling Layer,Create mart model: realtime_active_users,"Query against events_intraday_* table. Active users in last 30 minutes with page country device breakdowns. Replaces runRealtimeReport.",2.2
2.9,Phase 2: Data Modeling Layer,Configure incremental builds and scheduling,"Set dbt models to incremental (append new partitions daily). Set up a scheduled job (Cloud Scheduler + Cloud Run or dbt Cloud) to run dbt run daily. Full refresh weekly.",2.3
2.10,Phase 2: Data Modeling Layer,Validate modeled data matches GA4 API output,"Compare mart outputs against equivalent GA4 Data API calls across all major report types (sessions traffic pages conversions geo device). Document and fix any gaps.",2.9
3.1,Phase 3: App Integration,Install @google-cloud/bigquery package,"Add the BigQuery Node.js client library to package.json. Verify it works in the Next.js server environment.",None
3.2,Phase 3: App Integration,Create src/lib/bigquery.ts,"New module that authenticates via service account and exposes: runQuery(sql params) getPropertySchema(propertyId) queryRealtimeData(propertyId). All queries must enforce property_id scoping.",3.1
3.3,Phase 3: App Integration,Define new BigQuery tool schemas in src/lib/tools.ts,"Replace GA4_TOOLS with BIGQUERY_TOOLS. Define query_analytics (structured params: metrics dimensions date range filters -> app generates SQL) get_realtime_data and get_available_fields.",3.2
3.4,Phase 3: App Integration,Update system prompt for BigQuery-backed tools,"Adjust the system prompt in chat route to describe the new data model (sessions pageviews users conversions traffic_sources tables) so Claude knows what is queryable.",3.3
